"","name","id","date","prcp","tmax","tmin"
"69","CentralPark_NY","USW00094728",2022-03-10,0,10.6,0.6
"70","CentralPark_NY","USW00094728",2022-03-11,0,12.8,4.4
"71","CentralPark_NY","USW00094728",2022-03-12,127,8.9,-4.3
"72","CentralPark_NY","USW00094728",2022-03-13,0,1.7,-5.5
"73","CentralPark_NY","USW00094728",2022-03-14,0,13.3,0.6
"74","CentralPark_NY","USW00094728",2022-03-15,0,20,7.8
"75","CentralPark_NY","USW00094728",2022-03-16,0,19.4,8.9
"76","CentralPark_NY","USW00094728",2022-03-17,20,11.7,7.2
"77","CentralPark_NY","USW00094728",2022-03-18,0,23.3,10
"78","CentralPark_NY","USW00094728",2022-03-19,13,21.1,9.4
"79","CentralPark_NY","USW00094728",2022-03-20,0,16.1,7.8
"80","CentralPark_NY","USW00094728",2022-03-21,0,16.7,6.7
"81","CentralPark_NY","USW00094728",2022-03-22,0,14.4,6.1
"82","CentralPark_NY","USW00094728",2022-03-23,15,9.4,3.3
"83","CentralPark_NY","USW00094728",2022-03-24,236,8.3,3.3
"84","CentralPark_NY","USW00094728",2022-03-25,5,15.6,6.7
"85","CentralPark_NY","USW00094728",2022-03-26,0,11.7,5.6
"86","CentralPark_NY","USW00094728",2022-03-27,0,7.8,-2.1
"87","CentralPark_NY","USW00094728",2022-03-28,0,0.6,-4.9
"88","CentralPark_NY","USW00094728",2022-03-29,0,3.3,-4.3
"89","CentralPark_NY","USW00094728",2022-03-30,0,8.3,-1.6
"90","CentralPark_NY","USW00094728",2022-03-31,18,18.9,7.2
"91","CentralPark_NY","USW00094728",2022-04-01,71,16.1,6.1
"92","CentralPark_NY","USW00094728",2022-04-02,0,12.2,3.3
"93","CentralPark_NY","USW00094728",2022-04-03,30,8.9,4.4
"94","CentralPark_NY","USW00094728",2022-04-04,0,12.2,3.9
"95","CentralPark_NY","USW00094728",2022-04-05,10,13.9,7.2
"96","CentralPark_NY","USW00094728",2022-04-06,114,11.7,6.7
"97","CentralPark_NY","USW00094728",2022-04-07,284,12.2,7.2
"98","CentralPark_NY","USW00094728",2022-04-08,8,18.3,9.4
"99","CentralPark_NY","USW00094728",2022-04-09,13,12.8,8.3
"100","CentralPark_NY","USW00094728",2022-04-10,0,10,5.6
